MES;VAZAO
1;12,49
2;8,52
3;38,17
4;37,38
5;39,70
6;69,97
7;45,39
8;17,48
9;14,39
10;15,67
11;16,72
12;4,25
13;7,08
14;31,18
15;22,98
16;30,81
17;108,20
18;34,49
19;11,52
20;26,86
21;14,67
22;15,47
23;20,03
24;16,95
25;15,80
26;22,05
27;21,62
28;23,19
29;20,50
30;19,81
31;8,49
32;5,89
33;10,90
34;10,72
35;16,52
36;19,49
37;20,59
38;28,25
39;70,76
40;28,52
41;50,15
42;61,39
43;13,43
44;35,42
45;16,93
46;13,93
47;13,69
48;10,73
49;13,73
50;12,10
51;31,97
52;28,11
53;30,84
54;11,47
55;26,48
56;12,15
57;11,75
58;9,21
59;11,21
60;12,74
61;11,33
62;16,32
63;17,89
64;18,02
65;9,26
66;26,71
67;13,72
68;3,70
69;7,62
70;8,48
71;11,01
72;7,46
73;8,42
74;12,77
75;17,26
76;23,54
77;37,29
78;49,87
79;13,43
80;11,58
81;8,32
82;7,89
83;10,34
84;10,41
85;7,54
86;8,09
87;67,56
88;20,33
89;20,53
90;15,95
91;4,91
92;5,94
93;17,98
94;6,66
95;7,95
96;8,35
97;6,23
98;10,96
99;29,17
100;18,03
101;22,54
102;29,25
103;16,17
104;16,71
105;10,46
106;10,13
107;9,35
108;8,50
109;7,91
110;10,06
111;22,74
112;20,92
113;30,70
114;18,54
115;32,93
116;10,04
117;25,66
118;8,13
119;10,63
120;11,16
121;10,17
122;7,79
123;31,97
124;16,15
125;16,16
126;12,49
127;8,21
128;5,69
129;2,49
130;4,26
131;6,81
132;7,03
133;5,71
134;7,26
135;17,89
136;16,96
137;16,96
138;124,45
139;12,63
140;19,02
141;6,52
142;6,86
143;8,05
144;8,96
145;11,94
146;28,74
147;33,30
148;33,47
149;21,48
150;24,38
151;13,27
152;5,63
153;17,90
154;14,37
155;13,29
156;11,64
157;9,01
158;12,61
159;40,46
160;25,28
161;33,16
162;57,82
163;32,14
164;15,95
165;20,24
166;12,11
167;12,05
168;10,15
169;11,80
170;31,23
171;16,75
172;18,60
173;14,90
174;52,98
175;21,24
176;8,97
177;6,96
178;7,54
179;10,43
180;9,28
181;11,01
182;15,69
183;23,12
184;44,12
185;127,00
186;319,98
187;54,37
188;29,85
189;20,30
190;13,52
191;13,60
192;11,47
193;15,27
194;29,08
195;72,12
196;31,77
197;41,37
198;127,06
199;75,46
200;19,64
201;12,22
202;12,55
203;12,47
204;11,08
205;12,43
206;31,74
207;32,54
208;21,82
209;24,99
210;30,84
211;14,84
212;8,97
213;13,19
214;29,48
215;35,42
216;22,99
217;16,35
218;23,66
219;33,50
220;53,63
221;33,92
222;218,49
223;56,41
224;14,63
225;10,87
226;10,57
227;16,25
228;15,39
229;14,36
230;42,79
231;79,17
232;23,59
233;18,38
234;25,44
235;23,79
236;49,33
237;21,56
238;13,06
239;14,95
240;13,11
241;15,70
242;14,32
243;198,19
244;142,43
245;66,46
246;80,48
247;32,93
248;18,51
249;24,79
250;16,70
251;15,70
252;12,34
253;10,89
254;15,36
255;93,62
256;49,92
257;48,70
258;65,41
259;94,01
260;85,77
261;26,28
262;35,23
263;21,78
264;17,29
265;16,10
266;22,76
267;151,41
268;95,85
269;124,00
270;117,37
271;100,47
272;134,65
273;76,60
274;66,46
275;41,06
276;29,73
277;31,54
278;94,83
279;119,24
280;106,44
281;91,72
282;50,46
283;35,79
284;31,91
285;20,24
286;16,42
287;16,61
288;18,77
289;19,25
290;29,85
291;67,05
292;52,73
293;102,99
294;68,67
295;21,12
296;16,45
297;10,44
298;10,78
299;15,27
300;15,92
301;12,97
302;31,69
303;34,86
304;30,84
305;44,26
306;95,00
307;18,32
308;13,55
309;11,90
310;15,41
311;15,54
312;14,65
313;12,53
314;12,00
315;30,70
316;23,12
317;14,43
318;26,58
319;21,99
320;5,58
321;5,01
322;8,48
323;8,86
324;6,87
325;8,04
326;8,99
327;21,65
328;18,15
329;17,30
330;18,86
331;14,34
332;7,08
333;4,25
334;5,24
335;8,39
336;7,82
337;7,28
338;9,44
339;17,83
340;19,72
341;29,65
342;69,91
343;54,59
344;10,24
345;16,62
346;14,40
347;17,00
348;16,98
349;11,47
350;35,93
351;53,69
352;66,26
353;25,75
354;17,30
355;52,36
356;79,20
357;14,48
358;11,17
359;12,48
360;11,22
361;10,00
362;11,20
363;32,11
364;39,53
365;85,69
366;60,85
367;27,25
368;42,45
369;12,72
370;14,52
371;16,96
372;18,45
373;13,13
374;16,20
375;58,08
376;260,20
377;147,11
378;176,75
379;54,48
380;33,53
381;25,53
382;18,08
383;18,86
384;17,58
385;16,96
386;24,42
387;59,21
388;34,40
389;33,92
390;55,25
391;21,13
392;19,18
393;14,24
394;19,20
395;19,99
396;16,57
397;14,23
398;27,17
399;214,92
400;82,83
401;71,33
402;186,72
403;56,10
404;29,68
405;22,40
406;18,98
407;19,30
408;15,20
409;13,12
410;21,58
411;44,40
412;25,66
413;25,03
414;49,95
415;21,88
416;14,22
417;15,72
418;13,69
419;13,80
420;10,68
421;13,93
422;18,56
423;25,03
424;33,47
425;53,94
426;87,53
427;29,93
428;20,80
429;23,02
430;13,58
431;13,91
432;11,18
433;14,21
434;36,73
435;78,49
436;59,78
437;93,98
438;69,04
439;30,07
440;14,82
441;59,21
442;53,80
443;26,34
444;24,23
445;17,37
446;83,28
447;47,20
448;36,76
449;27,18
450;48,62
451;28,83
452;29,65
453;18,68
454;16,27
455;15,93
456;15,53
457;14,02
458;16,44
459;24,17
460;20,58
461;16,47
462;326,49
463;37,94
464;18,41
465;13,20
466;13,82
467;15,93
468;13,61
469;11,07
470;16,20
471;20,25
472;22,02
473;18,88
474;21,96
475;12,44
476;12,89
477;10,65
478;21,16
479;16,75
480;12,09
481;13,05
482;14,10
