MES;VAZAO
jan/1955;4529
fev/1955;6099
mar/1955;4585
abr/1955;5550
mai/1955;2416
jun/1955;1563
jul/1955;1061
ago/1955;853,21
set/1955;959
out/1955;1221
nov/1955;2385
dez/1955;4691
jan/1957;25244,34
fev/1957;18641,23
mar/1957;23996,84
abr/1957;23032,77
mai/1957;11796,49
jun/1957;8909
jul/1957;7858
ago/1957;5041,84
set/1957;2732
out/1957;1981
nov/1957;1538
dez/1957;1289
jan/1959;1088
fev/1959;1394
mar/1959;2202,18
abr/1959;2208
mai/1959;4986
jun/1959;10192,64
jul/1959;13278,32
ago/1959;8736,32
set/1959;3762
out/1959;2414
nov/1959;1797
dez/1959;1397
jan/1960;1149
fev/1960;1289
mar/1960;2162
abr/1960;4720
mai/1960;6897
jun/1960;9331
jul/1960;7431
ago/1960;4616,76
set/1960;3129
out/1960;1877
nov/1960;1378
dez/1960;1177
jan/1961;993
fev/1961;865
mar/1961;1218
abr/1961;2213
mai/1961;3810
jun/1961;5732
jul/1961;6811
ago/1961;4244,83
set/1961;3097
out/1961;1666
nov/1961;1229
dez/1961;1103
jan/1962;1073
fev/1962;1232
mar/1962;2030
abr/1962;4443
mai/1962;5547
jun/1962;6871
jul/1962;5911
ago/1962;3552,98
set/1962;1799
out/1962;1341
nov/1962;1073,86
dez/1962;914
jan/1963;889
fev/1963;1536
mar/1963;2419
abr/1963;14494,39
mai/1963;9078
jun/1963;6822
jul/1963;5244
ago/1963;5995,77
set/1963;8698,16
out/1963;10841,8
nov/1963;4787
dez/1963;2686
jan/1964;1967
fev/1964;1577
mar/1964;1333
abr/1964;2026
mai/1964;2971
jun/1964;4843
jul/1964;6041
ago/1964;12328,96
set/1964;9303,75
out/1964;6065
nov/1964;3358,96
dez/1964;2337
jan/1965;1714
fev/1965;1312
mar/1965;1196
abr/1965;1455
mai/1965;2158
jun/1965;3750
jul/1965;4888
ago/1965;6574,93
set/1965;8572
out/1965;8797
nov/1965;4498
dez/1965;2550
jan/1966;1783
fev/1966;1445
mar/1966;1231
abr/1966;1304
mai/1966;2712
jun/1966;3935,75
jul/1966;5313
ago/1966;8148,24
set/1966;15636,67
out/1966;6035
nov/1966;3956
dez/1966;2434
jan/1967;1800
fev/1967;1458
mar/1967;1291
abr/1967;1479,14
mai/1967;3702
jun/1967;8830
jul/1967;5807,4
ago/1967;7831,66
set/1967;8846
out/1967;4956
nov/1967;3691
dez/1967;2207
jan/1968;1609
fev/1968;1272
mar/1968;1152
abr/1968;1301
mai/1968;2600
jun/1968;5688
jul/1968;11259,38
ago/1968;9855,01
set/1968;12139,29
out/1968;5566
nov/1968;3557
dez/1968;2279
jan/1969;1725
fev/1969;1367
mar/1969;1265
abr/1969;1855
mai/1969;3181
jun/1969;3231
jul/1969;3029
ago/1969;3645,73
set/1969;4360,23
out/1969;5585
nov/1969;3217
dez/1969;1872,16
jan/1970;1375
fev/1970;1157
mar/1970;1013
abr/1970;1610
mai/1970;3810
jun/1970;5629
jul/1970;4108
ago/1970;5455,72
set/1970;6236
out/1970;5628,79
nov/1970;2691
dez/1970;1888
jan/1971;1413
fev/1971;1223
mar/1971;1092,3
abr/1971;1529
mai/1971;2148,74
jun/1971;4908
jul/1971;5951
ago/1971;4949,04
set/1971;7425,09
out/1971;7917
nov/1971;3881
dez/1971;2388
jan/1972;1817
fev/1972;1454
mar/1972;1180
abr/1972;2328
mai/1972;3696
jun/1972;6015
jul/1972;5773
ago/1972;7123,04
set/1972;12594,41
out/1972;12336,74
nov/1972;7693
dez/1972;3642
jan/1973;2467
fev/1973;1897
mar/1973;1639
abr/1973;2019
mai/1973;3143
jun/1973;4205
jul/1973;5553
ago/1973;7948,99
set/1973;7072
out/1973;9266
nov/1973;4600
dez/1973;2673
jan/1974;2137
fev/1974;1598
mar/1974;1299
abr/1974;1704,31
mai/1974;2907
jun/1974;3471
jul/1974;3772
ago/1974;6142,07
set/1974;6575
out/1974;5068
nov/1974;3413
dez/1974;2130,32
jan/1975;1552
fev/1975;1279
mar/1975;1227
abr/1975;2200
mai/1975;3486
jun/1975;5259,84
jul/1975;5857
ago/1975;13565,17
set/1975;5967
out/1975;6048
nov/1975;5604,15
dez/1975;2898
jan/1976;1991
fev/1976;1543
mar/1976;1384
abr/1976;2109
mai/1976;2592
jun/1976;4634
jul/1976;11848,65
ago/1976;11230,78
set/1976;16587,62
out/1976;8722
nov/1976;5508,19
dez/1976;3427
jan/1977;2437
fev/1977;1903
mar/1977;1594
abr/1977;1974
mai/1977;2195
jun/1977;4677
jul/1977;12346,53
ago/1977;21492,88
set/1977;11225,55
out/1977;7747
nov/1977;4483
dez/1977;2966
jan/1978;2229
fev/1978;1850
mar/1978;1970
abr/1978;2039
mai/1978;3386
jun/1978;3711,18
jul/1978;9463
ago/1978;25047,25
set/1978;18308,52
out/1978;7772
nov/1978;4299
dez/1978;2985
jan/1979;2355
fev/1979;1876
mar/1979;1732
abr/1979;1870
mai/1979;3324
jun/1979;8440
jul/1979;11241,66
ago/1979;7907,98
set/1979;8319,68
out/1979;10611,81
nov/1979;3954
dez/1979;3004
jan/1980;2212
fev/1980;1733
mar/1980;1424
abr/1980;1878,41
mai/1980;5242
jun/1980;4982
jul/1980;13709,09
ago/1980;13072,08
set/1980;9745
out/1980;7538
nov/1980;3816
dez/1980;2502
jan/1981;1989
fev/1981;1706
mar/1981;1631
abr/1981;1944
mai/1981;2284
jun/1981;2464
jul/1981;5676
ago/1981;15915,57
set/1981;7852
out/1981;7180
nov/1981;3189,93
dez/1981;2346
jan/1982;1774
fev/1982;1488
mar/1982;1315
abr/1982;1716,64
mai/1982;2558
jun/1982;5565
jul/1982;5062,04
ago/1982;4271,34
set/1982;5577
out/1982;7789
nov/1982;3624
dez/1982;2116
jan/1983;1552
fev/1983;1266
mar/1983;1297
abr/1983;1409,86
mai/1983;1885
jun/1983;2403
jul/1983;7708
ago/1983;12218,93
set/1983;8689
out/1983;9511
nov/1983;5339
dez/1983;2916
jan/1984;2135
fev/1984;1668
mar/1984;1408
abr/1984;2171
mai/1984;3484
jun/1984;7093
jul/1984;14972,44
ago/1984;10060,15
set/1984;9337
out/1984;6608
