Mes;Vazao
jan-1969;453,659
fev-1969;461,165
mar-1969;422,744
abr-1969;319,512
mai-1969;266,534
jun-1969;213,848
jul-1969;193,659
ago-1969;177,689
set-1969;173,823
out-1969;214,374
nov-1969;291,661
dez-1969;375,347
jan-1970;472,453
fev-1970;741,143
mar-1970;872,378
abr-1970;475,831
mai-1970;330,441
jun-1970;258,257
jul-1970;228,107
ago-1970;199,789
set-1970;209,252
out-1970;245,786
nov-1970;275,736
dez-1970;263,84
jan-1971;288,705
fev-1971;332,247
mar-1971;466,069
abr-1971;396,442
mai-1971;282,905
jun-1971;236,01
jul-1971;199
ago-1971;186,356
set-1971;178,25
out-1971;227,663
nov-1971;325,63
dez-1971;349,147
jan-1972;410,972
fev-1972;671,309
mar-1972;466,699
abr-1972;408,727
mai-1972;262,727
jun-1972;222,905
jul-1972;207,398
ago-1972;189,031
set-1972;181,495
out-1972;232,319
nov-1972;360,606
dez-1972;598,104
jan-1973;509,909
fev-1973;609,967
mar-1973;579,54
abr-1973;515,17
mai-1973;363,893
jun-1973;273,721
jul-1973;233,738
ago-1973;209,575
set-1973;200,013
out-1973;278,023
nov-1973;401,111
dez-1973;485,552
jan-1974;783,396
fev-1974;555,238
mar-1974;1021,305
abr-1974;745,472
mai-1974;522,614
jun-1974;370,496
jul-1974;296,518
ago-1974;259,498
set-1974;239,254
out-1974;285,115
nov-1974;299,634
dez-1974;411,14
jan-1975;454,989
fev-1975;492,752
mar-1975;515,914
abr-1975;561,91
mai-1975;384,52
jun-1975;279,253
jul-1975;253,597
ago-1975;221,098
set-1975;205,243
out-1975;238,085
nov-1975;381,867
dez-1975;524,73
jan-1976;421,821
fev-1976;648,026
mar-1976;656,043
abr-1976;472,979
mai-1976;418,994
jun-1976;332,632
jul-1976;260,475
ago-1976;226,438
set-1976;237,292
out-1976;288,234
nov-1976;468,544
dez-1976;729,662
jan-1977;755,031
fev-1977;957,728
mar-1977;613,048
abr-1977;607,46
mai-1977;504,185
jun-1977;374,521
jul-1977;302,892
ago-1977;244,849
set-1977;257,857
out-1977;330,753
nov-1977;431,436
dez-1977;590,783
jan-1978;1099,318
