Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez
51288,24217;41649,02966;38634,75255;42603,35002;48945,65935;48989,82114;43639,00138;41834,61461;42177,45673;44865,17548;50163,52058;52609,24145
44170,24355;35778,13963;32195,79116;32201,82944;34828,55269;34167,16283;28763,7994;27903,31002;34910,56039;39515,24724;48331,37628;50806,1331
41182,09907;34074,98672;30985,94446;33087,22373;38625,31651;38664,69283;33795,7664;30550,8087;33752,32024;38709,63783;45925,35439;52539,47686
40942,92436;32650,41376;29689,49881;33494,75859;35592,48449;36515,30575;30742,29844;28324,59805;35110,41766;43005,05738;50956,09223;58637,4395
46917,47936;35892,888;36315,27463;42014,85703;43516,15914;39375,91404;29914,79784;28685,36184;35100,50958;42891,57387;53831,97419;63377,37272
53685,64724;36284,72315;33808,81246;34457,38145;36109,791;35956,98801;30325,80199;31423,90522;36967,77246;46393,38804;52587,82044;58623,70854
49696,85637;37636,2389;34121,71449;34790,04176;37698,89931;38208,47464;35256,36393;32427,38293;38774,41109;48391,33983;60517,56839;66495,14309
60391,65524;41883,26325;35606,84715;37374,77717;40521,27389;40741,19908;33648,63365;29762,47891;37451,73972;42612,94235;51609,30014;58332,05153
50781,05508;36342,45763;30164,81021;31781,94217;35040,97886;34000,91926;28045,0143;27819,1998;31400,88559;37530,16798;48485,44505;49081,07644
37820,97673;32101,55025;32075,706;30260,99655;27620,1821;26608,65033;22021,11046;22389,13113;26903,06179;35208,21063;45527,09891;48750,74462
40918,47531;34150,07889;34219,86136;32839,15197;31881,43754;30851,96192;28844,90353;30389,67073;36532,96602;43720,72493;50376,94387;53906,19605
42716,5791;35857,36611;32580,57676;33021,38733;35491,43465;39288,16667;36946,99016;35915,64503;43368,58631;49369,30396;56210,80191;60503,58862
46833,34748;34564,49519;31917,39975;35427,90889;38269,22725;34117,36096;26104,65099;27074,93832;32401,09464;37832,87447;45044,75221;45631,45284
40436,94655;35935,60368;31252,34364;29685,70481;31143,52429;31793,60012;26811,60195;28272,29027;34058,61307;37489,15031;40935,4403;42056,76912
35409,03434;30622,75174;32423,63615;34092,65203;35042,03709;33487,52354;24682,14737;23736,99375;33836,79209;40804,49978;47359,30921;46414,08487
37714,12157;32235,71649;29570,61376;36291,86709;40348,51593;35158,39356;30969,46478;31694,94572;35604,2929;41834,73619;54017,62532;60665,31197
43442,01623;37021,22923;33738,55572;36103,14651;39895,07086;35510,00848;31795,98008;33654,00366;36616,22433;41308,13456;48604,26955;55440,44295
44346,56852;36816,40407;30832,8463;33732,28166;37133,22961;31985,7958;26849,39871;26759,59626;33677,80536;41703,39726;51282,76697;54836,82096
46891,23789;36642,07497;33378,14353;35913,98187;35497,15526;36030,01898;31029,01438;30966,25544;36906,29798;43023,31711;51763,08653;52822,21298
41290,74987;32899,99613;32589,52867;39071,21261;42105,68216;38879,97128;31867,09853;32676,09851;37824,30695;42565,38467;49462,47063;55216,4553
44141,25528;33143,83638;31169,13333;35160,17554;39042,95869;38065,91263;30658,88808;30804,14045;38476,55469;41515,93281;45274,97695;48789,69689
43676,90443;40054,56616;35252,61018;37513,36281;37763,29543;33566,91879;29309,57016;32210,71165;40768,35509;48195,22723;57832,84928;62179,80678
